city_id,city_name,region_name,year,days_observed,mean_available_hours,median_available_hours,share_days_ge18,mean_exceedance_share
307,Чорноморськ,Одеська область,2019,95,23.389473684210525,24.0,0.968421052631579,0.3520492577597841
307,Чорноморськ,Одеська область,2020,365,23.887671232876713,24.0,0.9917808219178083,0.17691194769098284
307,Чорноморськ,Одеська область,2021,328,23.771341463414632,24.0,0.9878048780487805,0.15701764907736931
307,Чорноморськ,Одеська область,2022,309,22.805825242718445,24.0,0.9158576051779935,0.11840080476198184
307,Чорноморськ,Одеська область,2023,365,23.068493150684933,24.0,0.9342465753424658,0.04250073964374825
307,Чорноморськ,Одеська область,2024,366,23.049180327868854,24.0,0.9480874316939891,0.023165153001218575
307,Чорноморськ,Одеська область,2025,32,23.71875,24.0,0.96875,0.04550253378378378
308,Полтава,Полтавська область,2019,96,23.729166666666668,24.0,0.9791666666666666,0.2700049603174603
308,Полтава,Полтавська область,2020,366,23.96448087431694,24.0,0.9972677595628415,0.1710185695155403
308,Полтава,Полтавська область,2021,352,23.738636363636363,24.0,0.9857954545454546,0.31838257726789426
308,Полтава,Полтавська область,2022,317,23.2397476340694,24.0,0.9589905362776026,0.3029940676867313
308,Полтава,Полтавська область,2023,169,22.437869822485208,24.0,0.8994082840236687,0.24939947254724582
308,Полтава,Полтавська область,2024,366,23.89344262295082,24.0,0.9972677595628415,0.09781876138433516
308,Полтава,Полтавська область,2025,32,23.71875,24.0,0.96875,0.4641047297297297
312,Чернігів,Чернігівська область,2019,93,23.06451612903226,24.0,0.946236559139785,0.7760787599497276
312,Чернігів,Чернігівська область,2020,172,22.8953488372093,24.0,0.9186046511627907,0.4852731203887675
312,Чернігів,Чернігівська область,2021,230,23.360869565217392,24.0,0.9608695652173913,0.4741508905232664
312,Чернігів,Чернігівська область,2024,218,21.371559633027523,24.0,0.8211009174311926,0.029878569442789625
312,Чернігів,Чернігівська область,2025,32,23.1875,24.0,0.9375,0.0013020833333333333
316,Берестки,Донецька область,2019,69,22.304347826086957,24.0,0.9130434782608695,0.5843486626095321
316,Берестки,Донецька область,2020,364,22.516483516483518,24.0,0.9010989010989011,0.2370944638927422
316,Берестки,Донецька область,2021,364,23.142857142857142,24.0,0.9505494505494505,0.322272813444215
316,Берестки,Донецька область,2022,363,22.732782369146005,24.0,0.928374655647383,0.21450339935461346
316,Берестки,Донецька область,2023,344,21.8546511627907,24.0,0.8691860465116279,0.22082746292575114
316,Берестки,Донецька область,2024,256,22.28515625,24.0,0.90625,0.20307967752614312
1161,Хмільник,Вінницька область,2019,31,21.741935483870968,24.0,0.8709677419354839,0.35616778995386805
1161,Хмільник,Вінницька область,2020,337,22.80415430267062,24.0,0.9228486646884273,0.24113822391837453
1161,Хмільник,Вінницька область,2021,312,23.05128205128205,24.0,0.9358974358974359,0.2733942518477527
1161,Хмільник,Вінницька область,2022,354,23.333333333333332,24.0,0.9519774011299436,0.17151803874285743
1161,Хмільник,Вінницька область,2023,317,23.034700315457414,24.0,0.9369085173501577,0.10289210857719978
1161,Хмільник,Вінницька область,2024,362,23.975138121546962,24.0,0.9972375690607734,0.11827614454566172
1161,Хмільник,Вінницька область,2025,19,21.789473684210527,24.0,0.8947368421052632,0.7390350877192983
2086,Томашпіль,Вінницька область,2019,36,23.416666666666668,24.0,0.9722222222222222,0.5001653439153438
2086,Томашпіль,Вінницька область,2020,347,23.42651296829971,24.0,0.962536023054755,0.25582788502627535
2086,Томашпіль,Вінницька область,2021,254,23.212598425196852,24.0,0.9566929133858267,0.3601573953621685
2086,Томашпіль,Вінницька область,2022,268,21.26865671641791,24.0,0.8097014925373134,0.2051746332605443
2086,Томашпіль,Вінницька область,2023,310,22.10322580645161,24.0,0.8774193548387097,0.16742312546462912
2086,Томашпіль,Вінницька область,2024,194,23.298969072164947,24.0,0.9639175257731959,0.3621619539134106
2086,Томашпіль,Вінницька область,2025,17,22.470588235294116,24.0,0.9411764705882353,0.7681372549019608
2406,Луцьк,Волинська область,2020,366,23.52185792349727,24.0,0.9699453551912568,0.385002123523045
2406,Луцьк,Волинська область,2021,274,23.386861313868614,24.0,0.9671532846715328,0.34601673671016736
2406,Луцьк,Волинська область,2022,146,23.164383561643834,24.0,0.952054794520548,0.1686381458322961
2406,Луцьк,Волинська область,2023,319,23.78996865203762,24.0,0.9905956112852664,0.1424211890512831
2406,Луцьк,Волинська область,2024,364,23.793956043956044,24.0,0.9862637362637363,0.13146151250908336
2406,Луцьк,Волинська область,2025,32,23.71875,24.0,0.96875,0.2682291666666667
3922,Орлівщина,Дніпропетровська область,2019,9,20.555555555555557,24.0,0.7777777777777778,0.4444444444444444
3922,Орлівщина,Дніпропетровська область,2020,334,21.365269461077844,24.0,0.844311377245509,0.20532785006039503
3922,Орлівщина,Дніпропетровська область,2021,348,22.879310344827587,24.0,0.9339080459770115,0.3000179470573685
3922,Орлівщина,Дніпропетровська область,2022,227,20.374449339207047,24.0,0.8061674008810573,0.16632272757926747
3922,Орлівщина,Дніпропетровська область,2023,166,19.373493975903614,24.0,0.7048192771084337,0.23904378661517325
5343,Житомир,Житомирська область,2020,216,20.916666666666668,24.0,0.8055555555555556,0.37182899211954823
5343,Житомир,Житомирська область,2021,242,22.041322314049587,24.0,0.8801652892561983,0.2582826895326895
